AccelX_mean,AccelX_std,AccelX_min,AccelX_max,AccelX_range,AccelX_median,AccelY_mean,AccelY_std,AccelY_min,AccelY_max,AccelY_range,AccelY_median,AccelZ_mean,AccelZ_std,AccelZ_min,AccelZ_max,AccelZ_range,AccelZ_median,GyroX_mean,GyroX_std,GyroX_min,GyroX_max,GyroX_range,GyroX_median,GyroY_mean,GyroY_std,GyroY_min,GyroY_max,GyroY_range,GyroY_median,GyroZ_mean,GyroZ_std,GyroZ_min,GyroZ_max,GyroZ_range,GyroZ_median,label
11.5,5.411289243983478,0,19,19,10.0,1.25,6.670832032063167,-18,19,37,1.0,1.4,6.33589691705837,-19,12,31,3.0,29.5,146.29334772895038,-283,709,992,0.0,-50.525,197.23277767588124,-927,257,1184,0.0,-18.4,212.14905258525314,-367,572,939,0.0,badminton
11.85,4.843975904574935,3,19,16,9.5,0.325,7.318355917371971,-16,19,35,0.0,1.725,5.782322752169444,-19,12,31,3.0,40.175,144.77566864210726,0,654,654,0.0,-23.575,197.04286758638756,-813,277,1090,0.0,-54.0,212.82808760075554,-496,585,1081,0.0,badminton
11.45,4.94041418382025,0,19,19,10.0,-1.2,7.165444141404616,-18,18,36,-0.5,2.3,6.661023252416311,-19,14,33,3.0,50.05,141.3301190974612,0,598,598,0.0,-31.075,250.55347834907525,-940,366,1306,0.0,-25.8,219.59930876543396,-448,536,984,0.0,badminton
11.175,5.032649809251991,-1,19,20,10.0,-1.475,5.481846497818141,-15,11,26,-1.0,2.9,4.776008418151752,-17,12,29,2.5,36.525,121.43627378071014,0,611,611,0.0,-41.1,228.44028563842258,-887,281,1168,-26.5,-61.5,218.36983449044564,-457,506,963,0.0,badminton
11.05,4.867211068953512,0,19,19,10.5,-1.0,6.913383527251457,-16,15,31,-0.5,2.375,6.507145973308783,-19,14,33,3.0,40.625,131.99799677967144,0,624,624,0.0,-29.275,198.76890169755248,-612,330,942,0.0,-31.025,236.18652857868776,-416,578,994,0.0,badminton
10.875,5.1200335535759525,0,19,19,10.0,-1.65,5.4891501373864084,-11,12,23,-1.0,3.175,5.261799926027068,-14,13,27,4.0,32.475,102.05252229951157,0,439,439,0.0,-30.725,199.51171002198703,-704,349,1053,0.0,-23.925,218.5117948468217,-329,542,871,0.0,badminton
10.6,4.550570547490974,1,19,18,9.0,-1.3,6.3456021516217564,-11,19,30,0.0,3.375,3.4320323649182205,-5,12,17,4.0,32.25,103.1890845946759,0,463,463,0.0,-40.825,117.93520330879657,-538,204,742,0.0,-15.0,217.61315948142285,-380,645,1025,0.0,badminton
10.35,6.359124274494212,-2,19,21,9.0,-1.3,4.756641780252221,-12,6,18,0.0,1.7,4.524576761620348,-10,13,23,2.0,37.375,102.23394175201231,0,365,365,0.0,-26.575,165.89228626137395,-547,307,854,0.0,-21.4,234.94765374440325,-393,520,913,0.0,badminton
10.975,5.526103556107189,-1,19,20,10.0,-1.45,3.7413147284659036,-12,6,18,-1.0,1.0,2.9612887007569473,-8,5,13,2.0,37.825,109.28130895619566,-160,429,589,10.5,-78.475,153.1700893844855,-632,26,658,-23.0,-20.725,167.6729092226275,-433,294,727,9.5,badminton
11.075,5.141024042457709,0,19,19,10.0,0.125,3.770244499995138,-10,10,20,0.0,1.275,4.1074510156730835,-12,10,22,1.0,55.775,148.06919510303803,-278,373,651,28.5,-112.575,182.36619787725226,-765,56,821,-27.5,-10.075,138.49176361698767,-355,267,622,0.0,badminton
11.85,5.512456756037138,-1,19,20,12.0,0.625,3.7119868202683795,-6,8,14,0.0,0.2,5.603112688039729,-13,13,26,0.0,14.175,188.6372026689572,-271,567,838,-29.0,-87.875,247.02726803704516,-845,227,1072,-15.5,-38.7,144.31379627350879,-274,241,515,0.0,badminton
11.875,5.566325031739915,-1,19,20,11.5,-0.5,3.6794648440311994,-9,7,16,-0.5,0.775,3.3625959141786987,-5,10,15,0.0,15.625,141.5175421761901,-189,405,594,22.5,-110.125,186.4538421604936,-692,105,797,-55.5,-39.825,162.8258291581088,-373,275,648,-20.5,badminton
11.95,5.41578888351173,0,19,19,11.5,0.45,3.194145285137184,-7,8,15,0.0,0.0,2.5318484177091665,-5,8,13,0.0,-20.0,186.757349767841,-299,384,683,-18.5,-113.3,170.99005819052755,-505,126,631,-38.5,-12.475,163.16877961493014,-338,270,608,10.5,badminton
10.625,5.545557242352217,-1,19,20,10.0,0.975,4.060361863373567,-5,12,17,0.0,1.35,3.2229147502190445,-5,9,14,1.0,60.6,135.74500982469922,-159,409,568,17.5,-92.55,157.55909758173036,-550,64,614,0.0,6.4,132.6266786790497,-311,340,651,6.0,badminton
10.925,5.775223383403029,-1,19,20,10.0,-0.075,3.1491757163276377,-8,8,16,0.0,0.975,3.277643775328356,-8,8,16,1.0,50.825,102.51826291334257,-118,308,426,26.5,-104.4,164.48814157242072,-579,91,670,-42.5,-31.55,146.84196109580373,-462,198,660,0.0,badminton
11.225,5.427789369153655,0,19,19,10.0,0.075,3.83898691230128,-7,12,19,0.0,0.525,3.441731079052055,-12,7,19,1.0,38.425,127.49960030103263,-164,437,601,18.5,-117.1,175.15148022680546,-640,52,692,-33.0,-29.1,137.42033589665218,-375,186,561,0.0,badminton
11.35,5.493819371079766,0,19,19,10.0,0.075,4.184142837195127,-15,9,24,0.0,0.35,2.5474975151594537,-8,6,14,1.0,37.55,133.0290020432213,-256,329,585,26.0,-103.4,163.88798551105506,-682,70,752,-59.5,-6.6,193.83574860148332,-610,285,895,8.5,badminton
12.2,5.199605507718584,0,19,19,12.0,1.25,4.572773382779471,-8,10,18,0.0,0.075,4.190266499082527,-10,11,21,0.0,16.825,190.28923834723082,-420,400,820,29.0,-92.05,174.22104291638195,-671,146,817,-54.5,-46.625,171.84394940968374,-381,283,664,5.5,badminton
12.8,5.515479382656853,0,19,19,13.5,1.125,4.089934486341328,-7,15,22,0.0,-0.475,2.791814959704667,-9,4,13,0.0,5.5,175.56195487633417,-306,468,774,-16.5,-105.45,205.6539226405271,-640,233,873,-44.5,-35.475,206.4872241034508,-532,337,869,-22.5,badminton
12.3,5.711885942982495,0,19,19,12.5,0.7,4.501851470969102,-8,15,23,0.0,-1.0,3.4418242032610915,-14,4,18,0.0,1.425,158.1372152472461,-323,403,726,0.0,-112.425,195.83429514220984,-786,110,896,-41.5,-48.15,186.70277352258495,-465,279,744,-31.5,badminton
12.125,5.612200537382362,-1,19,20,12.0,1.325,3.9378993488979983,-6,15,21,0.0,-0.225,3.19845716012083,-9,6,15,0.0,13.5,175.62313964704987,-342,439,781,4.5,-109.0,191.94657376334484,-737,114,851,0.0,-26.575,196.6850779083021,-474,282,756,-3.0,badminton
